,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
780,2020-06-10,321.42,322.39,318.2209,319.0,303.596527,95120496,95000800,-2.42,-0.75291,320.12,"June 10, 20",-0.0075291
781,2020-06-09,320.3,323.2849,319.36,320.79,305.300171,77792086,77479200,0.49,0.15298,321.18,"June 09, 20",0.0015298
782,2020-06-08,320.22,323.41,319.63,323.2,307.593719,73680654,73641200,2.98,0.93061,321.43,"June 08, 20",0.0093061
783,2020-06-05,317.23,321.275,317.16,319.34,303.920166,150942993,150524700,2.11,0.66513,318.17,"June 05, 20",0.0066513
784,2020-06-04,311.11,313.0,309.08,311.36,296.32547,76100031,75794400,0.25,0.08035743,311.27,"June 04, 20",0.0008035743
785,2020-06-03,310.24,313.22,309.94,312.18,297.105927,92967388,92567600,1.94,0.62532,311.48,"June 03, 20",0.0062532
786,2020-06-02,306.55,308.13,305.1,308.08,293.203796,74058985,74267200,1.53,0.4991,306.68,"June 02, 20",0.004991
787,2020-06-01,303.62,306.205,303.06,305.55,290.796021,56677691,55758300,1.93,0.63566,305.03,"June 01, 20",0.0063566
788,2020-05-29,302.46,304.96,299.47,304.32,289.625427,119459906,119090800,1.86,0.61496,302.75,"May 29, 20",0.0061496
789,2020-05-28,304.65,306.84,302.24,302.97,288.340607,91076702,90405200,-1.68,-0.55145,304.53,"May 28, 20",-0.0055145
790,2020-05-27,302.12,303.57,296.87,303.53,288.873535,105107396,104817400,1.41,0.4667,300.74,"May 27, 20",0.004667
791,2020-05-26,301.93,302.19,298.69,299.08,284.638428,89356117,88951400,-2.85,-0.94393,299.87,"May 26, 20",-0.0094393
792,2020-05-22,294.57,295.63,293.22,295.44,281.174194,64211574,63958200,0.87,0.29535,294.61,"May 22, 20",0.0029535
793,2020-05-21,296.79,297.67,293.6886,294.88,280.641296,77930700,78293900,-1.91,-0.64355,295.49,"May 21, 20",-0.0064355
794,2020-05-20,295.82,297.87,295.57,296.93,282.592255,86040005,85861700,1.11,0.37523,296.67,"May 20, 20",0.0037523
795,2020-05-19,294.35,296.205,291.95,291.97,277.871796,95485453,95189300,-2.38,-0.80856,294.29,"May 19, 20",-0.0080856
796,2020-05-18,293.05,296.75,292.7,295.0,280.755463,120690071,119703800,1.95,0.66542,293.87,"May 18, 20",0.0066542
797,2020-05-15,282.37,286.33,281.34,286.28,272.456543,111604978,111146300,3.91,1.38,284.42,"May 15, 20",0.0138
798,2020-05-14,278.95,285.11,272.99,284.97,271.209747,122326803,121977900,6.02,2.16,281.0,"May 14, 20",0.0216
799,2020-05-13,286.06,287.19,278.965,281.6,268.002502,145189302,144721100,-4.46,-1.56,282.6,"May 13, 20",-0.0156
800,2020-05-12,293.79,294.24,286.52,286.67,272.827698,95959109,95870800,-7.12,-2.42,290.18,"May 12, 20",-0.0242
801,2020-05-11,290.34,294.0,289.88,292.5,278.37619,79809969,79514200,2.16,0.74396,292.27,"May 11, 20",0.0074396
802,2020-05-08,291.09,292.95,289.86,292.44,278.319122,76752568,76452400,1.35,0.46377,291.46,"May 08, 20",0.0046377
803,2020-05-07,287.75,289.78,287.13,287.68,273.788971,75444726,75250400,-0.07,-0.02432667,287.99,"May 07, 20",-0.0002432667
804,2020-05-06,288.04,288.46,283.78,284.25,270.524506,73738669,73632600,-3.79,-1.32,286.1,"May 06, 20",-0.0132
805,2020-05-05,286.64,289.25,285.75,286.19,272.37088,79838418,79569900,-0.45,-0.15699,287.4,"May 05, 20",-0.0015699
806,2020-05-04,280.74,283.9,279.13,283.57,269.87738,81282961,80873200,2.83,1.01,281.76,"May 04, 20",0.0101
807,2020-05-01,285.31,290.6572,281.52,282.79,269.135071,125563365,125180000,-2.52,-0.88325,284.1,"May 01, 20",-0.0088325
808,2020-04-30,291.71,293.3239,288.59,290.48,276.453735,122787093,122901700,-1.23,-0.42165,290.59,"April 30, 20",-0.0042165
809,2020-04-29,291.53,294.88,290.41,293.21,279.051849,118451998,118745600,1.68,0.57627,292.69,"April 29, 20",0.0057627
810,2020-04-28,291.02,291.4,285.4,285.73,271.933044,105676439,105270000,-5.29,-1.82,287.77,"April 28, 20",-0.0182
811,2020-04-27,285.12,288.27,284.62,287.05,273.189301,78061251,77896600,1.93,0.67691,286.52,"April 27, 20",0.0067691
812,2020-04-24,280.73,283.7,278.5,282.97,269.306335,85360743,85063200,2.24,0.79792,281.03,"April 24, 20",0.0079792
813,2020-04-23,280.49,283.94,278.75,279.08,265.604187,104896702,104709700,-1.41,-0.50269,280.97,"April 23, 20",-0.0050269
814,2020-04-22,278.35,281.0,276.91,279.1,265.623199,93740606,92951600,0.75,0.26944,278.48,"April 22, 20",0.0026944
815,2020-04-21,276.73,278.04,272.02,273.04,259.855865,126809571,126385700,-3.69,-1.33,274.76,"April 21, 20",-0.0133
816,2020-04-20,282.61,286.7912,281.35,281.59,267.992981,100346358,100109300,-1.02,-0.36092,283.72,"April 20, 20",-0.0036092
817,2020-04-17,285.38,287.3,282.4,286.64,272.799133,147246068,146684800,1.26,0.44152,284.32,"April 17, 20",0.0044152
818,2020-04-16,279.15,280.03,275.76,279.1,265.623199,131935603,131798300,-0.05,-0.01791152,278.85,"April 16, 20",-0.0001791152
819,2020-04-15,277.57,283.9407,275.46,277.76,264.347961,122235649,121775000,0.19,0.0684512,277.82,"April 15, 20",0.000684512
820,2020-04-14,280.98,284.9,279.91,283.79,270.086761,134112038,134143400,2.81,1.0,282.08,"April 14, 20",0.01
821,2020-04-13,277.14,277.51,271.41,275.66,262.349335,115073487,114839100,-1.48,-0.53403,274.52,"April 13, 20",-0.0053403
